,label,site,site.code,sub.site,sub.site.code,transect,trans,site.label,date,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,rug,lat,lon,d.range.code,depth.range,depth,t.length,t.width,t.area,family ,order,sp.code,sp.rich,sp.length,species,sp.n,data.origin
3115,ADR3AF,ADRASAN,ADR,3,3ADR,A,999,ADR3AF,,Summer,NO,,,,,,1.15,36.272,30.479,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,5,,Thalassoma.pavo,5,Sala - PEW
3111,ADR3AF,ADRASAN,ADR,3,3ADR,A,999,ADR3AF,,Summer,NO,,,,,,1.15,36.272,30.479,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,5,,Diplodus.sargus,2,Sala - PEW
3114,ADR3AF,ADRASAN,ADR,3,3ADR,A,999,ADR3AF,,Summer,NO,,,,,,1.15,36.272,30.479,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,5,,Sparisoma.cretense,3,Sala - PEW
3116,ADR3BF,ADRASAN,ADR,3,3ADR,B,1000,ADR3BF,,Summer,NO,,,,,,1.25,36.272,30.479,3,08-‹š”,10,25,5,125,Apogonidae,Perciformes,AI,7,,Apogon.imberbis,2,Sala - PEW
3117,ADR3BF,ADRASAN,ADR,3,3ADR,B,1000,ADR3BF,,Summer,NO,,,,,,1.25,36.272,30.479,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,7,,Chromis.chromis,10,Sala - PEW
3118,ADR3BF,ADRASAN,ADR,3,3ADR,B,1000,ADR3BF,,Summer,NO,,,,,,1.25,36.272,30.479,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,7,,Coris.julis,13,Sala - PEW
3120,ADR3BF,ADRASAN,ADR,3,3ADR,B,1000,ADR3BF,,Summer,NO,,,,,,1.25,36.272,30.479,3,08-‹š”,10,25,5,125,Epinephelinae,Perciformes,ECOST,7,,Epinephelus.costae,1,Sala - PEW
3123,ADR3BF,ADRASAN,ADR,3,3ADR,B,1000,ADR3BF,,Summer,NO,,,,,,1.25,36.272,30.479,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,7,,Thalassoma.pavo,7,Sala - PEW
3119,ADR3BF,ADRASAN,ADR,3,3ADR,B,1000,ADR3BF,,Summer,NO,,,,,,1.25,36.272,30.479,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,7,,Diplodus.sargus,3,Sala - PEW
3121,ADR3BF,ADRASAN,ADR,3,3ADR,B,1000,ADR3BF,,Summer,NO,,,,,,1.25,36.272,30.479,3,08-‹š”,10,25,5,125,Serranidae,Perciformes,SCRIBA,7,,Serranus.scriba,2,Sala - PEW
3122,ADR3BF,ADRASAN,ADR,3,3ADR,B,1000,ADR3BF,,Summer,NO,,,,,,1.25,36.272,30.479,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,7,,Sparisoma.cretense,4,Sala - PEW
3124,ADR3CF,ADRASAN,ADR,3,3ADR,C,1001,ADR3CF,,Summer,NO,,,,,,1.29,36.272,30.479,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,3,,Coris.julis,14,Sala - PEW
3126,ADR3CF,ADRASAN,ADR,3,3ADR,C,1001,ADR3CF,,Summer,NO,,,,,,1.29,36.272,30.479,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,3,,Thalassoma.pavo,3,Sala - PEW
3125,ADR3CF,ADRASAN,ADR,3,3ADR,C,1001,ADR3CF,,Summer,NO,,,,,,1.29,36.272,30.479,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,3,,Diplodus.sargus,2,Sala - PEW
3127,ADR4AF,ADRASAN,ADR,4,4ADR,A,1002,ADR4AF,,Summer,NO,,,,,,1.45,36.388,30.487,3,08-‹š”,10,25,5,125,Apogonidae,Perciformes,AI,7,,Apogon.imberbis,3,Sala - PEW
3128,ADR4AF,ADRASAN,ADR,4,4ADR,A,1002,ADR4AF,,Summer,NO,,,,,,1.45,36.388,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,7,,Chromis.chromis,50,Sala - PEW
3129,ADR4AF,ADRASAN,ADR,4,4ADR,A,1002,ADR4AF,,Summer,NO,,,,,,1.45,36.388,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,7,,Coris.julis,5,Sala - PEW
3133,ADR4AF,ADRASAN,ADR,4,4ADR,A,1002,ADR4AF,,Summer,NO,,,,,,1.45,36.388,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,7,,Thalassoma.pavo,33,Sala - PEW
3130,ADR4AF,ADRASAN,ADR,4,4ADR,A,1002,ADR4AF,,Summer,NO,,,,,,1.45,36.388,30.487,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,7,,Diplodus.sargus,2,Sala - PEW
3131,ADR4AF,ADRASAN,ADR,4,4ADR,A,1002,ADR4AF,,Summer,NO,,,,,,1.45,36.388,30.487,3,08-‹š”,10,25,5,125,Serranidae,Perciformes,SCRIBA,7,,Serranus.scriba,2,Sala - PEW
3132,ADR4AF,ADRASAN,ADR,4,4ADR,A,1002,ADR4AF,,Summer,NO,,,,,,1.45,36.388,30.487,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGR,7,,Siganus.rivulatus,2,Sala - PEW
3134,ADR4BF,ADRASAN,ADR,4,4ADR,B,1003,ADR4BF,,Summer,NO,,,,,,1.55,36.388,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,4,,Chromis.chromis,40,Sala - PEW
3135,ADR4BF,ADRASAN,ADR,4,4ADR,B,1003,ADR4BF,,Summer,NO,,,,,,1.55,36.388,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,4,,Coris.julis,4,Sala - PEW
3136,ADR4BF,ADRASAN,ADR,4,4ADR,B,1003,ADR4BF,,Summer,NO,,,,,,1.55,36.388,30.487,3,08-‹š”,10,25,5,125,Epinephelinae,Perciformes,EMARG,4,,Epinephelus.marginatus,1,Sala - PEW
3139,ADR4BF,ADRASAN,ADR,4,4ADR,B,1003,ADR4BF,,Summer,NO,,,,,,1.55,36.388,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,4,,Thalassoma.pavo,12,Sala - PEW
3137,ADR4BF,ADRASAN,ADR,4,4ADR,B,1003,ADR4BF,,Summer,NO,,,,,,1.55,36.388,30.487,3,08-‹š”,10,25,5,125,Serranidae,Perciformes,SCRIBA,4,,Serranus.scriba,1,Sala - PEW
3138,ADR4BF,ADRASAN,ADR,4,4ADR,B,1003,ADR4BF,,Summer,NO,,,,,,1.55,36.388,30.487,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGR,4,,Siganus.rivulatus,2,Sala - PEW
3140,ADR4CF,ADRASAN,ADR,4,4ADR,C,1004,ADR4CF,,Summer,NO,,,,,,1.31,36.388,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,7,,Chromis.chromis,15,Sala - PEW
3141,ADR4CF,ADRASAN,ADR,4,4ADR,C,1004,ADR4CF,,Summer,NO,,,,,,1.31,36.388,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,7,,Coris.julis,2,Sala - PEW
3147,ADR4CF,ADRASAN,ADR,4,4ADR,C,1004,ADR4CF,,Summer,NO,,,,,,1.31,36.388,30.487,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,7,,Thalassoma.pavo,16,Sala - PEW
3142,ADR4CF,ADRASAN,ADR,4,4ADR,C,1004,ADR4CF,,Summer,NO,,,,,,1.31,36.388,30.487,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,7,,Diplodus.sargus,2,Sala - PEW
3143,ADR4CF,ADRASAN,ADR,4,4ADR,C,1004,ADR4CF,,Summer,NO,,,,,,1.31,36.388,30.487,3,08-‹š”,10,25,5,125,Serranidae,Perciformes,SCRIBA,7,,Serranus.scriba,1,Sala - PEW
3144,ADR4CF,ADRASAN,ADR,4,4ADR,C,1004,ADR4CF,,Summer,NO,,,,,,1.31,36.388,30.487,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGL,7,,Siganus.luridus,3,Sala - PEW
